Delivery Day,Hours,"Prices
(EUR/MWh)"
1/4/2020,H22,24.05
1/4/2020,H23,23.36
1/4/2020,H24,20.57
1/5/2020,H1,9.49
1/5/2020,H2,7.33
1/5/2020,H3,4.24
1/5/2020,H4,5.45
1/5/2020,H5,10.01
1/5/2020,H6,11.94
1/5/2020,H7,11.49
1/5/2020,H8,14.3
1/5/2020,H9,13
1/5/2020,H10,11.02
1/5/2020,H11,4.99
1/5/2020,H12,4.87
1/5/2020,H13,5.22
1/5/2020,H14,14.31
1/5/2020,H15,24.97
1/5/2020,H16,35.99
1/5/2020,H17,65.88
1/5/2020,H18,37.49
1/5/2020,H19,32.3
1/5/2020,H20,21.7
1/5/2020,H21,22.01
1/5/2020,H22,19.53
1/5/2020,H23,19
1/5/2020,H24,18.54
1/6/2020,H1,9.91
1/6/2020,H2,10.3
1/6/2020,H3,18.09
1/6/2020,H4,26.44
1/6/2020,H5,26.04
1/6/2020,H6,25.59
1/6/2020,H7,24.67
1/6/2020,H8,22.07
1/6/2020,H9,21.03
1/6/2020,H10,19.63
1/6/2020,H11,18.21
1/6/2020,H12,17.97
1/6/2020,H13,18.85
1/6/2020,H14,22.04
1/6/2020,H15,30.01
1/6/2020,H16,35.97
1/6/2020,H17,39.92
1/6/2020,H18,37.97
1/6/2020,H19,31.79
1/6/2020,H20,24.98
1/6/2020,H21,21.91
1/6/2020,H22,16.48
1/6/2020,H23,13.93
1/6/2020,H24,11.09
1/7/2020,H1,25
1/7/2020,H2,28.14
1/7/2020,H3,48.07
1/7/2020,H4,47.96
1/7/2020,H5,46.12
1/7/2020,H6,42.24
1/7/2020,H7,41.03
1/7/2020,H8,43
1/7/2020,H9,43.53
1/7/2020,H10,44.52
1/7/2020,H11,43.19
1/7/2020,H12,44
1/7/2020,H13,44.63
1/7/2020,H14,45.03
1/7/2020,H15,47.28
1/7/2020,H16,49
1/7/2020,H17,48.92
1/7/2020,H18,48.33
1/7/2020,H19,49.33
1/7/2020,H20,44.4
1/7/2020,H21,15.37
1/7/2020,H22,10.63
1/7/2020,H23,9.81
1/7/2020,H24,9.29
1/8/2020,H1,24.01
1/8/2020,H2,23.6
1/8/2020,H3,27.79
1/8/2020,H4,40.77
1/8/2020,H5,43.26
1/8/2020,H6,41.56
1/8/2020,H7,42.64
1/8/2020,H8,40.22
1/8/2020,H9,42
1/8/2020,H10,40.77
1/8/2020,H11,40.77
1/8/2020,H12,42.69
1/8/2020,H13,45.32
1/8/2020,H14,53.6
1/8/2020,H15,51.98
1/8/2020,H16,52.98
1/8/2020,H17,60.47
1/8/2020,H18,55.67
1/8/2020,H19,44.01
1/8/2020,H20,40.01
1/8/2020,H21,33.11
1/8/2020,H22,27.34
1/8/2020,H23,24.66
1/8/2020,H24,24.93
1/9/2020,H1,36.42
1/9/2020,H2,40.45
1/9/2020,H3,52.94
1/9/2020,H4,65.48
1/9/2020,H5,70.95
1/9/2020,H6,68.3
1/9/2020,H7,64.47
1/9/2020,H8,61.9
1/9/2020,H9,59.42
1/9/2020,H10,57.31
1/9/2020,H11,52.73
1/9/2020,H12,52.73
1/9/2020,H13,55.29
1/9/2020,H14,62.05
1/9/2020,H15,68.36
1/9/2020,H16,73.2
1/9/2020,H17,66.7
1/9/2020,H18,57
1/9/2020,H19,48.85
1/9/2020,H20,41
1/9/2020,H21,39.04
1/9/2020,H22,28.05
1/9/2020,H23,24.99
1/9/2020,H24,24.2
1/10/2020,H1,32.36
1/10/2020,H2,35.44
1/10/2020,H3,47
1/10/2020,H4,56
1/10/2020,H5,59.5
1/10/2020,H6,55.2
1/10/2020,H7,51.99
1/10/2020,H8,49.99
1/10/2020,H9,47.38
1/10/2020,H10,47
1/10/2020,H11,44.75
1/10/2020,H12,45.11
1/10/2020,H13,48.49
1/10/2020,H14,53.6
1/10/2020,H15,58.14
1/10/2020,H16,66.07
1/10/2020,H17,54.99
1/10/2020,H18,46.29
1/10/2020,H19,43.51
1/10/2020,H20,37.86
1/10/2020,H21,42.88
1/10/2020,H22,39.49
1/10/2020,H23,36.86
1/10/2020,H24,36.09
1/11/2020,H1,5.18
1/11/2020,H2,5.4
1/11/2020,H3,7
1/11/2020,H4,8.89
1/11/2020,H5,13.98
1/11/2020,H6,17.82
1/11/2020,H7,19.39
1/11/2020,H8,20.91
1/11/2020,H9,20.11
1/11/2020,H10,16.7
1/11/2020,H11,19.49
1/11/2020,H12,29
1/11/2020,H13,38.36
1/11/2020,H14,43.79
1/11/2020,H15,39.06
1/11/2020,H16,38.79
1/11/2020,H17,35.14
1/11/2020,H18,32.07
1/11/2020,H19,24.43
1/11/2020,H20,14.07
1/11/2020,H21,34.7
1/11/2020,H22,33.09
1/11/2020,H23,31.36
1/11/2020,H24,30.33
1/12/2020,H1,33.78
1/12/2020,H2,37.85
1/12/2020,H3,52.7
1/12/2020,H4,64.24
1/12/2020,H5,72.08
1/12/2020,H6,72.07
1/12/2020,H7,71.99
1/12/2020,H8,72
1/12/2020,H9,71.57
1/12/2020,H10,71.99
1/12/2020,H11,70.35
1/12/2020,H12,76.5
1/12/2020,H13,81.98
1/12/2020,H14,86.5
1/12/2020,H15,80.18
1/12/2020,H16,73.65
1/12/2020,H17,66
1/12/2020,H18,55.04
1/12/2020,H19,52.64
1/12/2020,H20,47.17
1/12/2020,H21,10.98
1/12/2020,H22,8.04
1/12/2020,H23,7.06
1/12/2020,H24,6.41
1/13/2020,H1,31.96
1/13/2020,H2,35.15
1/13/2020,H3,43.48
1/13/2020,H4,50.47
1/13/2020,H5,52.39
1/13/2020,H6,53.9
1/13/2020,H7,52.5
1/13/2020,H8,52.53
1/13/2020,H9,52.51
1/13/2020,H10,50.08
1/13/2020,H11,50.1
1/13/2020,H12,61.94
1/13/2020,H13,69.74
1/13/2020,H14,73.97
1/13/2020,H15,77.92
1/13/2020,H16,66.9
1/13/2020,H17,57.58
1/13/2020,H18,56.54
1/13/2020,H19,52.56
1/13/2020,H20,44.91
1/13/2020,H21,36.84
1/13/2020,H22,34.69
1/13/2020,H23,34.39
1/13/2020,H24,33.78
1/14/2020,H1,15.7
1/14/2020,H2,16.03
1/14/2020,H3,26.94
1/14/2020,H4,32.34
1/14/2020,H5,32.42
1/14/2020,H6,34.68
1/14/2020,H7,35
1/14/2020,H8,35
1/14/2020,H9,34.73
1/14/2020,H10,33.91
1/14/2020,H11,33.99
1/14/2020,H12,35.94
1/14/2020,H13,43.95
1/14/2020,H14,50.02
1/14/2020,H15,54.42
1/14/2020,H16,52.9
1/14/2020,H17,55.02
1/14/2020,H18,45.06
1/14/2020,H19,38.62
1/14/2020,H20,31.39
1/14/2020,H21,32.01
1/14/2020,H22,31.5
1/14/2020,H23,29.66
1/14/2020,H24,29.94
1/15/2020,H1,19.9
1/15/2020,H2,26.08
1/15/2020,H3,35.01
1/15/2020,H4,43.95
1/15/2020,H5,43.53
1/15/2020,H6,41
1/15/2020,H7,38.86
1/15/2020,H8,38.05
1/15/2020,H9,38.02
1/15/2020,H10,38.09
1/15/2020,H11,39.48
1/15/2020,H12,40.23
1/15/2020,H13,43
1/15/2020,H14,46.44
1/15/2020,H15,54.34
1/15/2020,H16,50.6
1/15/2020,H17,42.61
1/15/2020,H18,39.32
1/15/2020,H19,36.01
1/15/2020,H20,30.05
1/15/2020,H21,36.31
1/15/2020,H22,29.75
1/15/2020,H23,23.02
1/15/2020,H24,16.29
1/16/2020,H1,21.56
1/16/2020,H2,24.83
1/16/2020,H3,28.46
1/16/2020,H4,34.37
1/16/2020,H5,33.04
1/16/2020,H6,30.64
1/16/2020,H7,28.06
1/16/2020,H8,28.41
1/16/2020,H9,29.12
1/16/2020,H10,27.25
1/16/2020,H11,26.66
1/16/2020,H12,27.08
1/16/2020,H13,28.79
1/16/2020,H14,32.9
1/16/2020,H15,38.08
1/16/2020,H16,51.19
1/16/2020,H17,47.93
1/16/2020,H18,40.83
1/16/2020,H19,37.81
1/16/2020,H20,32.56
1/16/2020,H21,21.77
1/16/2020,H22,20.55
1/16/2020,H23,18.78
1/16/2020,H24,18.48
1/17/2020,H1,10.01
1/17/2020,H2,9.01
1/17/2020,H3,8.97
1/17/2020,H4,12.84
1/17/2020,H5,14.17
1/17/2020,H6,14.1
1/17/2020,H7,13.3
1/17/2020,H8,15.87
1/17/2020,H9,15.43
1/17/2020,H10,10.53
1/17/2020,H11,10.09
1/17/2020,H12,10.33
1/17/2020,H13,14.04
1/17/2020,H14,22.68
1/17/2020,H15,28.11
1/17/2020,H16,39.92
1/17/2020,H17,51.36
1/17/2020,H18,41.6
1/17/2020,H19,33.28
1/17/2020,H20,25.98
1/17/2020,H21,27.07
1/17/2020,H22,24.54
1/17/2020,H23,21.77
1/17/2020,H24,20.97
1/18/2020,H1,18.65
1/18/2020,H2,21.95
1/18/2020,H3,40.05
1/18/2020,H4,38.06
1/18/2020,H5,41.93
1/18/2020,H6,49
1/18/2020,H7,41.94
1/18/2020,H8,40.58
1/18/2020,H9,45.02
1/18/2020,H10,45.64
1/18/2020,H11,42.96
1/18/2020,H12,42.67
1/18/2020,H13,44.19
1/18/2020,H14,46.26
1/18/2020,H15,44.55
1/18/2020,H16,45.02
1/18/2020,H17,51.21
1/18/2020,H18,49.35
1/18/2020,H19,50.39
1/18/2020,H20,43.74
1/18/2020,H21,17.5
1/18/2020,H22,12.51
1/18/2020,H23,11.01
1/18/2020,H24,10.05
1/19/2020,H1,28.71
1/19/2020,H2,30.42
1/19/2020,H3,39.91
1/19/2020,H4,44.03
1/19/2020,H5,45.7
1/19/2020,H6,47.29
1/19/2020,H7,49.8
1/19/2020,H8,49.7
1/19/2020,H9,47.22
1/19/2020,H10,47.23
1/19/2020,H11,44.95
1/19/2020,H12,43.88
1/19/2020,H13,45.05
1/19/2020,H14,47.03
1/19/2020,H15,48.94
1/19/2020,H16,51.58
1/19/2020,H17,53.71
1/19/2020,H18,53.81
1/19/2020,H19,47.21
1/19/2020,H20,46.59
1/19/2020,H21,22.99
1/19/2020,H22,20.54
1/19/2020,H23,18.91
1/19/2020,H24,18.08
1/20/2020,H1,23.29
1/20/2020,H2,23.14
1/20/2020,H3,23.07
1/20/2020,H4,25.6
1/20/2020,H5,26.12
1/20/2020,H6,27
1/20/2020,H7,26.78
1/20/2020,H8,27.63
1/20/2020,H9,27.07
1/20/2020,H10,24.62
1/20/2020,H11,24
1/20/2020,H12,24.51
1/20/2020,H13,27.99
1/20/2020,H14,36.11
1/20/2020,H15,41.99
1/20/2020,H16,38.89
1/20/2020,H17,47.62
1/20/2020,H18,52.55
1/20/2020,H19,42.81
1/20/2020,H20,35.35
1/20/2020,H21,37.96
1/20/2020,H22,32.9
1/20/2020,H23,30.9
1/20/2020,H24,28.76
1/21/2020,H1,37.8
1/21/2020,H2,41.47
1/21/2020,H3,54.01
1/21/2020,H4,63.93
1/21/2020,H5,65.2
1/21/2020,H6,60
1/21/2020,H7,57.27
1/21/2020,H8,54.4
1/21/2020,H9,51.43
1/21/2020,H10,49.66
1/21/2020,H11,48.91
1/21/2020,H12,50.01
1/21/2020,H13,51.43
1/21/2020,H14,56.03
1/21/2020,H15,62.77
1/21/2020,H16,71.93
1/21/2020,H17,69.92
1/21/2020,H18,59.8
1/21/2020,H19,52.91
1/21/2020,H20,45.25
1/21/2020,H21,31
1/21/2020,H22,25.94
1/21/2020,H23,24.9
1/21/2020,H24,23.49
1/22/2020,H1,34.13
1/22/2020,H2,36.07
1/22/2020,H3,47.88
1/22/2020,H4,54.19
1/22/2020,H5,57.15
1/22/2020,H6,53.48
1/22/2020,H7,50.55
1/22/2020,H8,47.46
1/22/2020,H9,38.85
1/22/2020,H10,35.95
1/22/2020,H11,33.99
1/22/2020,H12,34.3
1/22/2020,H13,34.2
1/22/2020,H14,36.56
1/22/2020,H15,38.87
1/22/2020,H16,40.65
1/22/2020,H17,34.61
1/22/2020,H18,30.17
1/22/2020,H19,24.2
1/22/2020,H20,15.66
1/22/2020,H21,40.77
1/22/2020,H22,39.2
1/22/2020,H23,37.68
1/22/2020,H24,36.4
1/23/2020,H1,3.07
1/23/2020,H2,14.67
1/23/2020,H3,45.02
1/23/2020,H4,48.68
1/23/2020,H5,49.03
1/23/2020,H6,47.1
1/23/2020,H7,46.39
1/23/2020,H8,46.13
1/23/2020,H9,47.9
1/23/2020,H10,47.92
1/23/2020,H11,48.85
1/23/2020,H12,51.65
1/23/2020,H13,60.32
1/23/2020,H14,65.99
1/23/2020,H15,63.98
1/23/2020,H16,58.05
1/23/2020,H17,52.86
1/23/2020,H18,49.04
1/23/2020,H19,42.22
1/23/2020,H20,34.47
1/23/2020,H21,35.16
1/23/2020,H22,34.44
1/23/2020,H23,33.93
1/23/2020,H24,33.01
1/24/2020,H1,43.97
1/24/2020,H2,48.9
1/24/2020,H3,59.94
1/24/2020,H4,87.07
1/24/2020,H5,97.92
1/24/2020,H6,90.31
1/24/2020,H7,84.94
1/24/2020,H8,83.63
1/24/2020,H9,84.48
1/24/2020,H10,84.99
1/24/2020,H11,87.96
1/24/2020,H12,99.93
1/24/2020,H13,119.22
1/24/2020,H14,114.98
1/24/2020,H15,102.6
1/24/2020,H16,92.1
1/24/2020,H17,68.82
1/24/2020,H18,58
1/24/2020,H19,53.93
1/24/2020,H20,47.43
1/24/2020,H21,4.58
1/24/2020,H22,0.78
1/24/2020,H23,0.17
1/24/2020,H24,3.05
1/25/2020,H1,29.3
1/25/2020,H2,37.32
1/25/2020,H3,42.99
1/25/2020,H4,47.16
1/25/2020,H5,48.36
1/25/2020,H6,49.16
1/25/2020,H7,48.17
1/25/2020,H8,48.12
1/25/2020,H9,51.51
1/25/2020,H10,51.3
1/25/2020,H11,55.01
1/25/2020,H12,60.05
1/25/2020,H13,77.24
1/25/2020,H14,81.05
1/25/2020,H15,72.37
1/25/2020,H16,72.94
1/25/2020,H17,59.03
1/25/2020,H18,52.31
1/25/2020,H19,53.61
1/25/2020,H20,49.99
1/25/2020,H21,47.88
1/25/2020,H22,45.7
1/25/2020,H23,44.12
1/25/2020,H24,42.5
1/26/2020,H1,22.87
1/26/2020,H2,29.02
1/26/2020,H3,45.44
1/26/2020,H4,56.09
1/26/2020,H5,53.79
1/26/2020,H6,49
1/26/2020,H7,45.03
1/26/2020,H8,44
1/26/2020,H9,45
1/26/2020,H10,44.6
1/26/2020,H11,44.97
1/26/2020,H12,47.27
1/26/2020,H13,54.42
1/26/2020,H14,56.25
1/26/2020,H15,57.87
1/26/2020,H16,58.18
1/26/2020,H17,55.98
1/26/2020,H18,53.6
1/26/2020,H19,50.78
1/26/2020,H20,43.51
1/26/2020,H21,40.24
1/26/2020,H22,38.24
1/26/2020,H23,33.95
1/26/2020,H24,29.29
1/27/2020,H1,25.97
1/27/2020,H2,29.46
1/27/2020,H3,37.83
1/27/2020,H4,43.63
1/27/2020,H5,45.5
1/27/2020,H6,43
1/27/2020,H7,40.9
1/27/2020,H8,40
1/27/2020,H9,36.46
1/27/2020,H10,36.19
1/27/2020,H11,37.02
1/27/2020,H12,37.99
1/27/2020,H13,39.74
1/27/2020,H14,42.92
1/27/2020,H15,49.1
1/27/2020,H16,45.93
1/27/2020,H17,41.95
1/27/2020,H18,37.92
1/27/2020,H19,33.36
1/27/2020,H20,28.54
1/27/2020,H21,31.39
1/27/2020,H22,29.3
1/27/2020,H23,22.59
1/27/2020,H24,20.04
1/28/2020,H1,23.89
1/28/2020,H2,27.98
1/28/2020,H3,32.51
1/28/2020,H4,42.2
1/28/2020,H5,39.71
1/28/2020,H6,41.18
1/28/2020,H7,34.07
1/28/2020,H8,31.34
1/28/2020,H9,32.99
1/28/2020,H10,29.67
1/28/2020,H11,29.03
1/28/2020,H12,28.63
1/28/2020,H13,25.19
1/28/2020,H14,27.2
1/28/2020,H15,34.82
1/28/2020,H16,45.05
1/28/2020,H17,46.56
1/28/2020,H18,39.49
1/28/2020,H19,35.2
1/28/2020,H20,30.43
1/28/2020,H21,30.59
1/28/2020,H22,28.36
1/28/2020,H23,26.34
1/28/2020,H24,25.23
1/29/2020,H1,13.55
1/29/2020,H2,10.62
1/29/2020,H3,9.58
1/29/2020,H4,10.72
1/29/2020,H5,11.17
1/29/2020,H6,9.05
1/29/2020,H7,10
1/29/2020,H8,11.01
1/29/2020,H9,10.84
1/29/2020,H10,7.26
1/29/2020,H11,4.62
1/29/2020,H12,4.72
1/29/2020,H13,7.39
1/29/2020,H14,15.09
1/29/2020,H15,23.07
1/29/2020,H16,34.13
1/29/2020,H17,50.02
1/29/2020,H18,36.17
1/29/2020,H19,30.19
1/29/2020,H20,25.67
1/29/2020,H21,31.1
1/29/2020,H22,26.92
1/29/2020,H23,22.95
1/29/2020,H24,21.83
1/30/2020,H1,24.49
1/30/2020,H2,29.53
1/30/2020,H3,38.09
1/30/2020,H4,46.45
1/30/2020,H5,46.98
1/30/2020,H6,41.99
1/30/2020,H7,42.01
1/30/2020,H8,40.97
1/30/2020,H9,40.15
1/30/2020,H10,36.18
1/30/2020,H11,36.08
1/30/2020,H12,36.1
1/30/2020,H13,40.12
1/30/2020,H14,40.19
1/30/2020,H15,41.09
1/30/2020,H16,44.51
1/30/2020,H17,47.29
1/30/2020,H18,41.09
1/30/2020,H19,36.11
1/30/2020,H20,30.21
1/30/2020,H21,20.97
1/30/2020,H22,16.51
1/30/2020,H23,14.54
1/30/2020,H24,14.2
1/31/2020,H1,30.63
1/31/2020,H2,33.82
1/31/2020,H3,42.73
1/31/2020,H4,50.65
1/31/2020,H5,50.02
1/31/2020,H6,49.94
1/31/2020,H7,47.04
1/31/2020,H8,47.29
1/31/2020,H9,46.93
1/31/2020,H10,45.7
1/31/2020,H11,44.97
1/31/2020,H12,44.84
1/31/2020,H13,45.27
1/31/2020,H14,45.96
1/31/2020,H15,47.45
1/31/2020,H16,49
1/31/2020,H17,54.55
1/31/2020,H18,55.92
1/31/2020,H19,43.21
1/31/2020,H20,39.63
1/31/2020,H21,45.22
1/31/2020,H22,35.31
1/31/2020,H23,27.01
1/31/2020,H24,25.03
2/1/2020,H1,26.01
2/1/2020,H2,29.96
2/1/2020,H3,37.96
2/1/2020,H4,45.98
2/1/2020,H5,47.8
2/1/2020,H6,45.57
2/1/2020,H7,43.12
2/1/2020,H8,42
2/1/2020,H9,41
2/1/2020,H10,39.5
2/1/2020,H11,39.14
2/1/2020,H12,39.92
2/1/2020,H13,42.34
2/1/2020,H14,44.59
2/1/2020,H15,47.48
2/1/2020,H16,49.57
2/1/2020,H17,48.15
2/1/2020,H18,44.87
2/1/2020,H19,42.94
2/1/2020,H20,36.34
2/1/2020,H21,40.95
2/1/2020,H22,37.31
2/1/2020,H23,32.74
2/1/2020,H24,31.3
2/2/2020,H1,34.5
2/2/2020,H2,37.38
2/2/2020,H3,49.95
2/2/2020,H4,55.92
2/2/2020,H5,59.53
2/2/2020,H6,54.91
2/2/2020,H7,49.92
2/2/2020,H8,48.31
2/2/2020,H9,46.59
2/2/2020,H10,45.55
2/2/2020,H11,43.03
2/2/2020,H12,42.09
2/2/2020,H13,47.11
2/2/2020,H14,50.27
2/2/2020,H15,55.58
2/2/2020,H16,61.77
2/2/2020,H17,59.96
2/2/2020,H18,45.97
2/2/2020,H19,38.94
2/2/2020,H20,32.02
2/2/2020,H21,31.17
2/2/2020,H22,27.11
2/2/2020,H23,26.18
2/2/2020,H24,25.75
2/3/2020,H1,3.55
2/3/2020,H2,6.19
2/3/2020,H3,11.06
2/3/2020,H4,19.1
2/3/2020,H5,27.58
2/3/2020,H6,32.84
2/3/2020,H7,28.89
2/3/2020,H8,27.06
2/3/2020,H9,25.63
2/3/2020,H10,23.3
2/3/2020,H11,22.86
2/3/2020,H12,23.5
2/3/2020,H13,27.07
2/3/2020,H14,30.94
2/3/2020,H15,37.5
2/3/2020,H16,45.25
2/3/2020,H17,39
2/3/2020,H18,34.25
2/3/2020,H19,29.6
2/3/2020,H20,25.42
2/3/2020,H21,41.83
2/3/2020,H22,37.61
2/3/2020,H23,36.01
2/3/2020,H24,34.01
2/4/2020,H1,23.08
2/4/2020,H2,30.67
2/4/2020,H3,42.88
2/4/2020,H4,44.07
2/4/2020,H5,45.97
2/4/2020,H6,45.43
2/4/2020,H7,44.94
2/4/2020,H8,44.98
2/4/2020,H9,44.63
2/4/2020,H10,46.95
2/4/2020,H11,49.12
2/4/2020,H12,52.28
2/4/2020,H13,60.39
2/4/2020,H14,65.87
2/4/2020,H15,61.99
2/4/2020,H16,55.04
2/4/2020,H17,46.98
2/4/2020,H18,40.82
2/4/2020,H19,36.51
2/4/2020,H20,29.74
2/4/2020,H21,11.07
2/4/2020,H22,9.83
2/4/2020,H23,4.83
2/4/2020,H24,2.23
2/5/2020,H1,42.91
2/5/2020,H2,54.78
2/5/2020,H3,71.61
2/5/2020,H4,112.86
2/5/2020,H5,123.11
2/5/2020,H6,112.86
2/5/2020,H7,109.06
2/5/2020,H8,105.89
2/5/2020,H9,110
2/5/2020,H10,106.9
2/5/2020,H11,105.05
2/5/2020,H12,118.91
2/5/2020,H13,123.32
2/5/2020,H14,107.42
2/5/2020,H15,99.03
2/5/2020,H16,90.92
2/5/2020,H17,70.73
2/5/2020,H18,55.95
2/5/2020,H19,53.36
2/5/2020,H20,45.83
2/5/2020,H21,28.98
2/5/2020,H22,22.75
2/5/2020,H23,18.88
2/5/2020,H24,19.05
2/6/2020,H1,29.42
2/6/2020,H2,31.94
2/6/2020,H3,34.96
2/6/2020,H4,41.02
2/6/2020,H5,44.59
2/6/2020,H6,44.22
2/6/2020,H7,43.14
2/6/2020,H8,42.27
2/6/2020,H9,42.27
2/6/2020,H10,41.5
2/6/2020,H11,41.72
2/6/2020,H12,45.08
2/6/2020,H13,48.12
2/6/2020,H14,50.01
2/6/2020,H15,48.12
2/6/2020,H16,49.42
2/6/2020,H17,46.76
2/6/2020,H18,42.27
2/6/2020,H19,39.81
2/6/2020,H20,34.11
2/6/2020,H21,48.63
2/6/2020,H22,44.1
2/6/2020,H23,42.32
2/6/2020,H24,40.24
2/7/2020,H1,26.48
2/7/2020,H2,30.98
2/7/2020,H3,54.92
2/7/2020,H4,44.63
2/7/2020,H5,46.11
2/7/2020,H6,45
2/7/2020,H7,43.01
2/7/2020,H8,51.01
2/7/2020,H9,54.04
2/7/2020,H10,48.14
2/7/2020,H11,47.76
2/7/2020,H12,44.49
2/7/2020,H13,43.08
2/7/2020,H14,43.8
2/7/2020,H15,43.69
2/7/2020,H16,42
2/7/2020,H17,37.72
2/7/2020,H18,31.25
2/7/2020,H19,33.49
2/7/2020,H20,29.91
2/7/2020,H21,38.99
2/7/2020,H22,34.76
2/7/2020,H23,33.68
2/7/2020,H24,29.29
2/8/2020,H1,26.59
2/8/2020,H2,30.36
2/8/2020,H3,39.1
2/8/2020,H4,45.88
2/8/2020,H5,47.6
2/8/2020,H6,44.6
2/8/2020,H7,41.3
2/8/2020,H8,38.7
2/8/2020,H9,36.75
2/8/2020,H10,36.45
2/8/2020,H11,37.82
2/8/2020,H12,40.22
2/8/2020,H13,41.58
2/8/2020,H14,45
2/8/2020,H15,58.03
2/8/2020,H16,55.29
2/8/2020,H17,45.76
2/8/2020,H18,38.99
2/8/2020,H19,35.51
2/8/2020,H20,31.3
2/8/2020,H21,34.01
2/8/2020,H22,32.03
2/8/2020,H23,30.01
2/8/2020,H24,26.17
2/9/2020,H1,20.44
2/9/2020,H2,20.46
2/9/2020,H3,21.32
2/9/2020,H4,24.85
2/9/2020,H5,25.48
2/9/2020,H6,23.09
2/9/2020,H7,19.57
2/9/2020,H8,19.01
2/9/2020,H9,18.86
2/9/2020,H10,18.56
2/9/2020,H11,17.7
2/9/2020,H12,18.2
2/9/2020,H13,18
2/9/2020,H14,21.99
2/9/2020,H15,26.59
2/9/2020,H16,37.12
2/9/2020,H17,38.05
2/9/2020,H18,29.14
2/9/2020,H19,24.01
2/9/2020,H20,21.5
2/9/2020,H21,29.22
2/9/2020,H22,28
2/9/2020,H23,26.44
2/9/2020,H24,25.8
2/10/2020,H1,20.66
2/10/2020,H2,22.98
2/10/2020,H3,30.64
2/10/2020,H4,36.05
2/10/2020,H5,38.55
2/10/2020,H6,33.9
2/10/2020,H7,30.54
2/10/2020,H8,38.21
2/10/2020,H9,42.34
2/10/2020,H10,38.31
2/10/2020,H11,34.02
2/10/2020,H12,30.98
2/10/2020,H13,28.04
2/10/2020,H14,31.38
2/10/2020,H15,34.32
2/10/2020,H16,44.98
2/10/2020,H17,46.08
2/10/2020,H18,38.09
2/10/2020,H19,32.04
2/10/2020,H20,24.67
2/10/2020,H21,27.04
2/10/2020,H22,23.5
2/10/2020,H23,22.1
2/10/2020,H24,20.94
2/11/2020,H1,19.17
2/11/2020,H2,20.45
2/11/2020,H3,29.01
2/11/2020,H4,38.09
2/11/2020,H5,37.53
2/11/2020,H6,32.65
2/11/2020,H7,30.01
2/11/2020,H8,28.79
2/11/2020,H9,26.52
2/11/2020,H10,25.22
2/11/2020,H11,24.13
2/11/2020,H12,23.48
2/11/2020,H13,23.35
2/11/2020,H14,24.82
2/11/2020,H15,27.81
2/11/2020,H16,29.1
2/11/2020,H17,30.01
2/11/2020,H18,25.3
2/11/2020,H19,22.29
